TERM	DOID
"familial transthyretin amyloidosis"	"DOID0050638"
"transthyretin-related hereditary amyloidosis"	"DOID0050638"
"ttr amyloidosis"	"DOID0050638"
"primary cutaneous amyloidosis"	"DOID0050639"
"familial primary localized cutaneous amyloidosis"	"DOID0050639"
"pca"	"DOID0050639"
"anauxetic dysplasia"	"DOID0050640"
"rh deficiency syndrome"	"DOID0050641"
"hypochromic microcytic anemia"	"DOID0050642"
"anonychia congenita"	"DOID0050643"
"hyponychia congenita"	"DOID0050643"
"arterial calcification of infancy"	"DOID0050644"
"generalized arterial calcification of infancy"	"DOID0050644"
"idiopathic infantile arterial calcification"	"DOID0050644"
"infantile arteriosclerosis"	"DOID0050644"
"arterial tortuosity syndrome"	"DOID0050645"
"distal arthrogryposis"	"DOID0050646"
"arthrogryposis multiplex congenita"	"DOID0050646"
"freeman-sheldon syndrome"	"DOID0050646"
"freeman-sheldon syndrome variant"	"DOID0050646"
"sheldon-hall syndrome"	"DOID0050646"
"arts syndrome"	"DOID0050647"
"lethal ataxia with deafness and optic atrophy"	"DOID0050647"
"atelosteogenesis"	"DOID0050648"
"atransferrinemia"	"DOID0050649"
"familial hypotransferrinemia"	"DOID0050649"
"familial atrial fibrillation"	"DOID0050650"
"atfb"	"DOID0050650"
"atrioventricular septal defect"	"DOID0050651"
"atrioventricular canal defect"	"DOID0050651"
"avcd"	"DOID0050651"
"avsd"	"DOID0050651"
"ecd"	"DOID0050651"
"endocardial cushion defect"	"DOID0050651"
"baller-gerold syndrome"	"DOID0050654"
"bamforth-lazarus syndrome"	"DOID0050655"
"hypothyroidism, athyroidal, with spiky hair and cleft palate"	"DOID0050655"
"pseudo-torch syndrome"	"DOID0050656"
"band-like calcification with simplified gyration and polymicrogyria"	"DOID0050656"
"bannayan-riley-ruvalcaba syndrome"	"DOID0050657"
"bannayan-zonana syndrome"	"DOID0050657"
"riley-smith syndrome"	"DOID0050657"
"ruvalcaba-myhre-smith syndrome"	"DOID0050657"
"bart-pumphrey syndrome"	"DOID0050658"
"knuckle pads, leukonychia, and sensorineural deafness"	"DOID0050658"
"biotin-responsive basal ganglia disease"	"DOID0050659"
"beare-stevenson cutis gyrata syndrome"	"DOID0050660"
"vitelliform macular dystrophy"	"DOID0050661"
"best disease"	"DOID0050661"
"best macular dystrophy"	"DOID0050661"
"juvenile-onset vitelliform macular dystrophy"	"DOID0050661"
"bestrophinopathy"	"DOID0050662"
"autosomal recessive bestrophinopathy"	"DOID0050662"
"bethlem myopathy"	"DOID0050663"
"benign congenital muscular dystrophy"	"DOID0050663"
"bietti crystalline corneoretinal dystrophy"	"DOID0050664"
"bietti's crystalline dystrophy "	"DOID0050664"
"fetal alcohol syndrome"	"DOID0050665"
"partial fetal alcohol syndrome"	"DOID0050666"
"alcohol-related neurodevelopmental disorder"	"DOID0050667"
"arnd"	"DOID0050667"
"static encephalopathy"	"DOID0050667"
"alcohol-related birth defect"	"DOID0050668"
"arbd"	"DOID0050668"
"spastic cerebral palsy"	"DOID0050669"
"ataxic cerebral palsy"	"DOID0050670"
"hypotonic cerebral palsy"	"DOID0050670"
"female breast cancer"	"DOID0050671"
"dyskinetic cerebral palsy"	"DOID0050672"
"athetoid dyskinetic cerebral palsy"	"DOID0050672"
"mixed cerebral palsy"	"DOID0050673"
"congenital bile acid synthesis defect"	"DOID0050674"
"3-beta-hydroxy-delta-5-c27-steroid oxidoreductase deficiency"	"DOID0050674"
"cba"	"DOID0050674"
"cholestasis with delta(4)-3-oxosteroid-5-beta-reductase deficiency"	"DOID0050674"
"birk-barel syndrome"	"DOID0050675"
"birk-barel mental retardation dysmorphism syndrome"	"DOID0050675"
"birt-hogg-dube syndrome"	"DOID0050676"
"bjornstad syndrome"	"DOID0050677"
"blau syndrome"	"DOID0050678"
"arthrocutaneouveal granulomatosis"	"DOID0050678"
"jabs syndrome"	"DOID0050678"
"blue cone monochromacy"	"DOID0050679"
"boomerang dysplasia"	"DOID0050680"
"borjeson-forssman-lehmann syndrome"	"DOID0050681"
"borjeson syndrome"	"DOID0050681"
"athabaskan brainstem dysgenesis syndrome"	"DOID0050682"
"navajo brainstem syndrome"	"DOID0050682"
"bothnia retinal dystrophy"	"DOID0050683"
"vasterbotten dystrophy"	"DOID0050683"
"bowen-conradi syndrome"	"DOID0050684"
"small cell carcinoma"	"DOID0050685"
"intermediate cell small cell carcinoma"	"DOID0050685"
"small cell carcinoma - intermediate cell"	"DOID0050685"
"small cell carcinoma, intermediate cell (morphologic abnormality)"	"DOID0050685"
"organ system cancer"	"DOID0050686"
"cell type cancer"	"DOID0050687"
"anal canal cancer"	"DOID0050688"
"brachydactyly-syndactyly syndrome"	"DOID0050689"
"brachyolmia"	"DOID0050690"
"brachyrachia"	"DOID0050690"
"branchiooculofacial syndrome"	"DOID0050691"
"brody myopathy"	"DOID0050692"
"brooke-spiegler syndrome"	"DOID0050693"
"brown-vialetto-van laere syndrome"	"DOID0050694"
"malignant pleural solitary fibrous tumor"	"DOID0050695"
"fetal alcohol spectrum disorder"	"DOID0050696"
"chorioamnionitis"	"DOID0050697"
"funisitis"	"DOID0050698"
"dent disease"	"DOID0050699"
"dent disease 1"	"DOID0050699"
"dent disease 2"	"DOID0050699"
"dent's disease"	"DOID0050699"
"cardiomyopathy"	"DOID0050700"
"cardiomyopathies"	"DOID0050700"
"electroclinical syndrome"	"DOID0050701"
"electro-clinical syndrome"	"DOID0050701"
"neonatal period electroclinical syndrome"	"DOID0050702"
"infancy electroclinical syndrome"	"DOID0050703"
"childhood electroclinical syndrome"	"DOID0050704"
"adolescence-adult electroclinical syndrome"	"DOID0050705"
"variable age at onset electroclinical syndrome"	"DOID0050706"
"early onset absence epilepsy"	"DOID0050708"
"ohtahara syndrome"	"DOID0050709"
"early infantile epileptic encephalopathy "	"DOID0050709"
"early infantile epileptic encephalopathy with burst-suppression"	"DOID0050709"
"epileptic encephalopathy, early infantile, 15"	"DOID0050709"
"3-methylcrotonyl-coa carboxylase deficiency"	"DOID0050710"
"3-methylcrotonylglycinuria"	"DOID0050710"
"3mcc deficiency"	"DOID0050710"
"bmcc deficiency"	"DOID0050710"
"aceruloplasminemia"	"DOID0050711"
"agat deficiency"	"DOID0050712"
"arginine:glycine amidinotransferase deficiency"	"DOID0050712"
"cerebral creatine deficiency syndrome 3"	"DOID0050712"
"fatal infantile encephalocardiomyopathy"	"DOID0050713"
"cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency"	"DOID0050713"
"fatal infantile cardioencephalomyopathy due to cytochrome c oxidase deficiency"	"DOID0050713"
"fatal infantile cox deficiency"	"DOID0050713"
"methylmalonic aciduria and homocystinuria type cblc"	"DOID0050715"
"cobalamin c deficiency"	"DOID0050715"
"methylmalonic aciduria and homocystinuria type cbld"	"DOID0050716"
"cobalamin d deficiency"	"DOID0050716"
"methylmalonic aciduria and homocystinuria type cblf"	"DOID0050717"
"cobalamin f deficiency"	"DOID0050717"
"vitamin metabolic disorder"	"DOID0050718"
"cerebral folate receptor alpha deficiency"	"DOID0050719"
"ornithine translocase deficiency"	"DOID0050720"
"hhh syndrome"	"DOID0050720"
"hyperornithinemia-hyperammonemia-homocitrullinuria (hhh) syndrome"	"DOID0050720"
"serine deficiency"	"DOID0050721"
"phgdh deficiency"	"DOID0050722"
"phosphoglycerate dehydrogenase deficiency"	"DOID0050722"
"psat deficiency"	"DOID0050723"
"phosphoserine aminotransferase deficiency"	"DOID0050723"
"psph deficiency"	"DOID0050724"
"phosphoserine phosphatase deficiency"	"DOID0050724"
"psphd"	"DOID0050724"
"tyrosinemia type ii"	"DOID0050725"
"oculocutaneous tyrosinemia"	"DOID0050725"
"richner-hanhart syndrome"	"DOID0050725"
"tyrosinemia type i"	"DOID0050726"
"hepatorenal tyrosinemia"	"DOID0050726"
"tyrosinemia type iii"	"DOID0050727"
"glycogen metabolism disorder"	"DOID0050728"
"neutral lipid storage disease"	"DOID0050729"
"chanarin-dorfman syndrome"	"DOID0050729"
"coenzyme q10 deficiency disease"	"DOID0050730"
"coenzyme q10 deficiency, primary"	"DOID0050730"
"vitamin b12 deficiency"	"DOID0050731"
"cobalamin deficiency"	"DOID0050731"
"hypocobalaminemia"	"DOID0050731"
"methylmalonic aciduria and homocystinuria type cble"	"DOID0050732"
"methylmalonic aciduria and homocystinuria type cblg"	"DOID0050733"
"congenital intrinsic factor deficiency"	"DOID0050734"
"hereditary intrinsic factor deficiency"	"DOID0050734"
"x-linked disease"	"DOID0050735"
"autosomal dominant disease"	"DOID0050736"
"autosomal recessive disease"	"DOID0050737"
"y-linked disease"	"DOID0050738"
"autosomal genetic disease"	"DOID0050739"
"qazi markouizos syndrome"	"DOID0050740"
"dysharmonic skeletal maturation - muscular fibre disproportion"	"DOID0050740"
"qazi-markouizos syndrome"	"DOID0050740"
"alcohol dependence"	"DOID0050741"
"alcoholism"	"DOID0050741"
"nicotine dependence"	"DOID0050742"
"tobacco use disorder"	"DOID0050742"
"mature t-cell and nk-cell lymphoma"	"DOID0050743"
"mature t-cell and natural killer cell lymphoma"	"DOID0050743"
"nk-t cell lymphoma"	"DOID0050743"
"anaplastic large cell lymphoma"	"DOID0050744"
"diffuse large b-cell lymphoma"	"DOID0050745"
"mantle cell lymphoma"	"DOID0050746"
"lymphoplasmacytic lymphoma"	"DOID0050747"
"waldenström's macroglobulinemia "	"DOID0050747"
"marginal zone b-cell lymphoma"	"DOID0050748"
"marginal zone lymphoma"	"DOID0050748"
"peripheral t-cell lymphoma"	"DOID0050749"
"splenic marginal zone lymphoma"	"DOID0050750"
"t-cell large granular lymphocyte leukemia"	"DOID0050751"
"large granular lymphocytic leukemia"	"DOID0050751"
"amyotrophic lateral sclerosis type 8"	"DOID0050752"
"als8"	"DOID0050752"
"amyotrophic lateral sclerosis 8"	"DOID0050752"
"cerebellar ataxia"	"DOID0050753"
"ataxia with oculomotor apraxia type 1"	"DOID0050754"
"ataxia with oculomotor apraxia type 2"	"DOID0050755"
"batten disease"	"DOID0050756"
"juvenile neuronal ceroid lipofuscinosis"	"DOID0050756"
"deafness dystonia syndrome"	"DOID0050757"
"deafness dystonia optic atrophy syndrome"	"DOID0050757"
"deafness dystonia optic neuronopathy syndrome (ddon)"	"DOID0050757"
"dystonia deafness syndrome"	"DOID0050757"
"mohr-tranebjaerg syndrome"	"DOID0050757"
"metabolic acidosis"	"DOID0050758"
"myotonic dystrophy type 2"	"DOID0050759"
"proximal myotonic myopathy"	"DOID0050759"
"x-linked myopathy with excessive autophagy"	"DOID0050760"
"xmea"	"DOID0050760"
"paramyloidosis"	"DOID0050761"
"adenylosuccinase lyase deficiency"	"DOID0050762"
"arc syndrome"	"DOID0050763"
"arthrogryposis, renal dysfunction and cholestasis (arc) syndrome"	"DOID0050763"
"arthrogryposis, renal dysfunction, and cholestasis"	"DOID0050763"
"arthrogryposis-renal dysfunction-cholestasis"	"DOID0050763"
"armfield syndrome"	"DOID0050764"
"armfield x-linked mental retardation syndrome"	"DOID0050764"
"mrxsa"	"DOID0050764"
"neuroacanthocytosis"	"DOID0050765"
"chorea-acanthocytosis"	"DOID0050766"
"midface dysplasia"	"DOID0050767"
"mitochondrial complex v (atp synthase) deficiency, nuclear type 1"	"DOID0050768"
"mc5dn1"	"DOID0050768"
"n syndrome"	"DOID0050769"
"nsx"	"DOID0050769"
"polycystic liver disease"	"DOID0050770"
"phaeochromocytoma"	"DOID0050771"
"spastic ataxia 1"	"DOID0050772"
"paraganglioma"	"DOID0050773"
"chemodectoma"	"DOID0050773"
"rapadilino syndrome"	"DOID0050774"
"schneckenbecken dysplasia"	"DOID0050775"
"non-syndromic x-linked intellectual disability"	"DOID0050776"
"mental retardation, x-linked 95"	"DOID0050776"
"mrx"	"DOID0050776"
"non-specific x-linked mental retardation"	"DOID0050776"
"joubert syndrome"	"DOID0050777"
"jbts"	"DOID0050777"
"meckel syndrome"	"DOID0050778"
"meckel-gruber syndrome"	"DOID0050778"
"hydrolethalus syndrome"	"DOID0050779"
"salonen-herva-norio syndrome"	"DOID0050779"
"opitz-gbbb syndrome"	"DOID0050780"
"opitz g/bbb syndrome"	"DOID0050780"
"ogden syndrome"	"DOID0050781"
"n-alpha-acetyltransferase"	"DOID0050781"
"n-terminal acetyltransferase deficiency"	"DOID0050781"
"ogdns"	"DOID0050781"
"x-linked malformation and infantile lethality syndrome"	"DOID0050781"
"zollinger-ellison syndrome"	"DOID0050782"
"secondary progressive multiple sclerosis"	"DOID0050783"
"secondary-progressive ms "	"DOID0050783"
"spms"	"DOID0050783"
"primary progressive multiple sclerosis"	"DOID0050784"
"ppms"	"DOID0050784"
"primary-progressive ms"	"DOID0050784"
"progressive relapsing multiple sclerosis"	"DOID0050785"
"prms"	"DOID0050785"
"progressive-relapsing ms"	"DOID0050785"
"iridogoniodysgenesis syndrome"	"DOID0050786"
"igds"	"DOID0050786"
"irid 1"	"DOID0050786"
"irid 2"	"DOID0050786"
"iridogoniodysgenesis type 1"	"DOID0050786"
"iridogoniodysgenesis type 2"	"DOID0050786"
"juvenile polyposis syndrome"	"DOID0050787"
"proximal symphalangism"	"DOID0050788"
"cushing's symphalangism"	"DOID0050788"
"tarsal-carpal coalition syndrome"	"DOID0050789"
"fibular hypoplasia and complex brachydactyly"	"DOID0050790"
"du pan syndrome"	"DOID0050790"
"persistent mullerian duct syndrome"	"DOID0050791"
"multiple cutaneous and mucosal venous malformations"	"DOID0050792"
"short qt syndrome"	"DOID0050793"
"multiple synostoses syndrome"	"DOID0050794"
"cone dystrophy"	"DOID0050795"
"retinal cone dystrophy"	"DOID0050795"
"achalasia microcephaly syndrome"	"DOID0050796"
"achalasia microcephaly"	"DOID0050796"
"achalasia-microcephaly syndrome"	"DOID0050796"
"peroxisomal acyl-coa oxidase deficiency"	"DOID0050797"
"peroxisomal acyl-coenzyme a oxidase"	"DOID0050797"
"cerebral creatine deficiency syndrome"	"DOID0050798"
"guanidinoacetate methyltransferase deficiency"	"DOID0050799"
"cerebral creatine deficiency syndrome 2"	"DOID0050799"
"gamt deficiency"	"DOID0050799"
"creatine transporter deficiency"	"DOID0050800"
"cerebral creatine deficiency syndrome 1"	"DOID0050800"
"slc6a8 deficiency"	"DOID0050800"
"androgenic alopecia"	"DOID0050801"
"alopecia androgenetica, male pattern baldness"	"DOID0050801"
"androgenetic alopecia"	"DOID0050801"
"ehlers-danlos syndrome progeroid type"	"DOID0050802"
"ehlers-danlos syndrome, progeroid type, 2"	"DOID0050802"
"glioblastoma classical subtype"	"DOID0050803"
"glioblastoma proneural subtype"	"DOID0050804"
"glioblastoma mesenchymal subtype"	"DOID0050805"
"glioblastoma neural subtype"	"DOID0050806"
"kahrizi syndrome"	"DOID0050807"
"mucopolysaccharidosis ix"	"DOID0050809"
"biotin deficiency"	"DOID0050810"
"b7 deficiency"	"DOID0050810"
"congenital adrenal hyperplasia"	"DOID0050811"
"adrenal hyperplasia 1"	"DOID0050811"
"congenital lipoid adrenal hyperplasia "	"DOID0050811"
"lipoid cah"	"DOID0050811"
"spondyloepimetaphyseal dysplasia, pakistani type"	"DOID0050812"
"spondyloepimetaphyseal dysplasia pakistani type"	"DOID0050812"
"spondyloepiphyseal dysplasia with congenital joint dislocations"	"DOID0050813"
"chondrodysplasia with multiple dislocations"	"DOID0050813"
"chst3-related skeletal dysplasia"	"DOID0050813"
"humero-spinal dysostosis with congenital heart disease"	"DOID0050813"
"humerospinal dysostosis"	"DOID0050813"
"humerospinal dysostosis"	"DOID0050813"
"kozlowski celermajer tink syndrome"	"DOID0050813"
"omani type"	"DOID0050813"
"spondyloepiphyseal dysplasia"	"DOID0050813"
"temtamy preaxial brachydactyly syndrome"	"DOID0050814"
"preaxial brachydactyly syndrome, temtamy type"	"DOID0050814"
"eye adnexa disease"	"DOID0050815"
"urofacial syndrome"	"DOID0050816"
"hydronephrosis with peculiar facial expression"	"DOID0050816"
"ochoa syndrome"	"DOID0050816"
"stargardt disease"	"DOID0050817"
"stargardt disease 1"	"DOID0050817"
"transcobalamin ii deficiency"	"DOID0050818"
"tcn2 deficiency"	"DOID0050818"
"matthew-wood syndrome"	"DOID0050819"
"mcops9"	"DOID0050819"
"microphthalmia syndromic type 9 "	"DOID0050819"
"atrioventricular block"	"DOID0050820"
"av block"	"DOID0050820"
"first-degree atrioventricular block"	"DOID0050821"
"second-degree atrioventricular block"	"DOID0050822"
"second-degree heart block"	"DOID0050822"
"third-degree atrioventricular block"	"DOID0050823"
"complete av block"	"DOID0050823"
"sinoatrial node disease"	"DOID0050824"
"sa node"	"DOID0050824"
"sinuatrial node"	"DOID0050824"
"endocardium disease"	"DOID0050825"
"tricuspid valve disease"	"DOID0050826"
"disease of tricuspid valve"	"DOID0050826"
"rh. tricuspid valve disease"	"DOID0050826"
"rheumatic disease of tricuspid valve (disorder)"	"DOID0050826"
"rheumatic tricuspid valve disease"	"DOID0050826"
"rheumatic tricuspid valve disease nos (disorder)"	"DOID0050826"
"tricuspid disease"	"DOID0050826"
"rheumatic heart disease"	"DOID0050827"
"artery disease"	"DOID0050828"
"pericardium disease"	"DOID0050829"
"peripheral artery disease"	"DOID0050830"
"familial encephalopathy with neuroserpin inclusion bodies"	"DOID0050831"
"fenib"	"DOID0050831"
"pyrimidine metabolic disorder"	"DOID0050832"
"orotic aciduria"	"DOID0050833"
"charge syndrome"	"DOID0050834"
"charge association"	"DOID0050834"
"generalized dystonia"	"DOID0050835"
"dystonia deformans progressiva"	"DOID0050835"
"dystonia lenticularis (disorder)"	"DOID0050835"
"dystonia musculorum deformans"	"DOID0050835"
"dystonia, deformans progressiva"	"DOID0050835"
"familial dystonia"	"DOID0050835"
"familiar dystonia"	"DOID0050835"
"familiar idiopathic dystonia"	"DOID0050835"
"fragments of torsion dystonia"	"DOID0050835"
"idiopathic familial dystonia"	"DOID0050835"
"idiopathic familial dystonia"	"DOID0050835"
"idiopathic familial dystonia (disorder)"	"DOID0050835"
"idiopathic non-familial dystonia"	"DOID0050835"
"idiopathic non-familial dystonia (disorder)"	"DOID0050835"
"idiopathic torsion dystonia"	"DOID0050835"
"idiopathic torsion dystonia"	"DOID0050835"
"idiopathic torsion dystonia (disorder)"	"DOID0050835"
"non-familiar idiopathic dystonia"	"DOID0050835"
"symptomatic torsion dystonia"	"DOID0050835"
"symptomatic torsion dystonia (disorder)"	"DOID0050835"
"symptomatic torsion dystonia nos (disorder)"	"DOID0050835"
"focal dystonia"	"DOID0050836"
"multifocal dystonia"	"DOID0050837"
"segmental dystonia"	"DOID0050838"
"anismus"	"DOID0050839"
"cervical dystonia"	"DOID0050840"
"spasmodic torticollis"	"DOID0050840"
"focal hand dystonia"	"DOID0050841"
"organic writer's cramp"	"DOID0050841"
"oculogyric crisis"	"DOID0050842"
"oromandibular dystonia"	"DOID0050843"
"spasmodic dystonia"	"DOID0050844"
"laryngeal dystonia"	"DOID0050844"
"cranio-facial dystonia"	"DOID0050845"
"hemidystonia"	"DOID0050846"
"sleep apnea"	"DOID0050847"
"obstructive sleep apnea"	"DOID0050848"
"obstructive sleep apnea syndrome"	"DOID0050848"
"periampullary adenoma"	"DOID0050849"
"diabetic encephalopathy"	"DOID0050850"
"glomerulosclerosis"	"DOID0050851"
"limb ischemia"	"DOID0050852"
"chronic venous insufficiency"	"DOID0050853"
"muckle-wells syndrome"	"DOID0050854"
"renal fibrosis"	"DOID0050855"
"oppositional defiant disorder"	"DOID0050856"
"perrault syndrome"	"DOID0050857"
"marshall-smith syndrome"	"DOID0050858"
"hemorrhagic cystitis"	"DOID0050859"
"colorectal adenoma"	"DOID0050860"
"colorectal adenocarcinoma"	"DOID0050861"
"pyometritis"	"DOID0050862"
"arteritic anterior ischemic optic neuropathy"	"DOID0050863"
"non-arteritic anterior ischemic optic neuropathy"	"DOID0050864"
"nonarteritic anterior ischemic optic neuropathy"	"DOID0050864"
"tongue squamous cell carcinoma"	"DOID0050865"
"squamous-cell carcinoma"	"DOID0050865"
"oral squamous cell carcinoma"	"DOID0050866"
"mouth squamous cell carcinoma"	"DOID0050866"
"jensen syndrome"	"DOID0050867"
"opticoacoustic nerve atrophy with dementia"	"DOID0050867"
"hepatocellular adenoma"	"DOID0050868"
"villous adenoma"	"DOID0050869"
"in situ pulmonary adenocarcinoma"	"DOID0050870"
"bronchioalveolar carcinoma"	"DOID0050870"
"fibroma"	"DOID0050871"
"large cell neuroendocrine carcinoma"	"DOID0050872"
"follicular lymphoma"	"DOID0050873"
"small cell neuroendocrine carcinoma"	"DOID0050875"
"caroli disease"	"DOID0050876"
"pancreatic agenesis"	"DOID0050877"
"partial pancreatic agenesis"	"DOID0050877"
"fragile x-associated tremor/ataxia syndrome"	"DOID0050879"
"fxtas syndrome"	"DOID0050879"
"koolen de vries syndrome"	"DOID0050880"
"17q21.31 microdeletion syndrome"	"DOID0050880"
